#  g  ml cal prot fat carb fiber
# Oils
  100   352    22   3.00   0.00   3.00   1.00 sliced white mushrooms
  100   352    22   3.00   0.00   3.00   1.00 sliced brown mushrooms
   85   160    20   3.00   0.00   3.00   1.00 monterrey mushroom
 -150    80    52   5.00   1.00  10.00   4.00 oyster mushroom
  -85   240    22   2.00   0.00   4.00   1.00 portabella mushroom
  -85   240    22   2.00   0.00   4.00   1.00 portabella
   71   120    40   1.00   0.00  11.00   2.00 shiitake mushroom
   71   120    40   1.00   0.00  11.00   2.00 shiitake
  298   300   200   5.00   9.00  25.00   2.00 golden mushroom soup
  298   300   250   3.00  15.00  22.00   5.00 cream of mushroom soup
