fdc_id	kcal	prot	fat	carb	fiber	alc	atwater	desc
167761	0.00	0.00	0.00	0.00	0.00	0.00		Soursop, raw
167762	0.00	0.00	0.00	0.00	0.00	0.00		Strawberries, raw
167763	0.00	0.00	0.00	0.00	0.00	0.00		Tamarinds, raw
167764	0.00	0.00	0.00	0.00	0.00	0.00		Fruit salad, (pineapple and papaya and banana and guava), tropical, canned, heavy syrup, solids and liquids
167765	0.00	0.00	0.00	0.00	0.00	0.00		Watermelon, raw
167766	0.00	0.00	0.00	0.00	0.00	0.00		Maraschino cherries, canned, drained
167767	0.00	0.00	0.00	0.00	0.00	0.00		Pineapple, canned, juice pack, drained
167768	0.00	0.00	0.00	0.00	0.00	0.00		Apricots, canned, heavy syrup, drained
167769	0.00	0.00	0.00	0.00	0.00	0.00		Cherries, sour, canned, water pack, drained
167770	0.00	0.00	0.00	0.00	0.00	0.00		Cherries, sweet, canned, pitted, heavy syrup, drained
167771	0.00	0.00	0.00	0.00	0.00	0.00		Apple juice, canned or bottled, unsweetened, with added ascorbic acid
167772	0.00	0.00	0.00	0.00	0.00	0.00		Applesauce, canned, unsweetened, with added ascorbic acid
167773	0.00	0.00	0.00	0.00	0.00	0.00		Applesauce, canned, sweetened, with salt
167774	0.00	0.00	0.00	0.00	0.00	0.00		Grapefruit juice, pink, raw
167775	0.00	0.00	0.00	0.00	0.00	0.00		Apple juice, frozen concentrate, unsweetened, diluted with 3 volume water, with added ascorbic acid
167776	0.00	0.00	0.00	0.00	0.00	0.00		Pears, raw, bartlett (Includes foods for USDA's Food Distribution Program)
167777	0.00	0.00	0.00	0.00	0.00	0.00		Pears, raw, red anjou
167778	0.00	0.00	0.00	0.00	0.00	0.00		Pears, raw, bosc (Includes foods for USDA's Food Distribution Program)
167779	0.00	0.00	0.00	0.00	0.00	0.00		Pears, raw, green anjou (Includes foods for USDA's Food Distribution Program)
167780	0.00	0.00	0.00	0.00	0.00	0.00		Prune puree
167781	0.00	0.00	0.00	0.00	0.00	0.00		Candied fruit
167782	0.00	0.00	0.00	0.00	0.00	0.00		Abiyuch, raw
167783	0.00	0.00	0.00	0.00	0.00	0.00		Rowal, raw
